Number,Number of Iterations,Number of Moves,Time (seconds)
10,1068,194,0.0005078315734863281
11,559,93,0.0002491474151611328
12,3316,510,0.0015411376953125
13,1464,209,0.0007059574127197266
14,28381,3784,0.014760971069335938
15,21625,2703,0.011841773986816406
16,170749,20088,0.09705996513366699
17,96580,10731,0.05654621124267578
18,784511,82580,0.49129486083984375
19,50711,5071,0.03188514709472656
20,4192126,399250,2.915405035018921
21,188134,17103,0.139390230178833
22,869567,10000012,7.213101148605347
23,609997,50833,0.4690251350402832
24,800002,10000016,7.833533763885498
25,1265434,97341,0.9791460037231445
26,740742,10000002,8.239977359771729
27,714287,10000004,8.268251180648804
28,689657,10000001,8.429343938827515
29,666669,10000017,8.905022144317627
30,645164,10000019,8.783196210861206
