n,time_taken,num_iterations,num_moves
10,0.0014019012451171875,64,118
11,0.0014450550079345703,62,113
12,0.0021178722381591797,82,152
13,0.0010759830474853516,34,55
14,0.003261089324951172,104,194
15,0.0009169578552246094,22,29
16,0.003162860870361328,79,142
17,0.0017147064208984375,37,57
18,0.010642051696777344,243,468
19,0.02804708480834961,589,1159
20,0.007269144058227539,137,254
21,0.0021712779998779297,31,41
22,0.011438846588134766,185,348
23,0.002189159393310547,24,25
24,0.06105184555053711,914,1804
25,0.019469738006591797,265,505
26,0.011589765548706055,139,252
27,0.011443853378295898,133,239
28,0.013928890228271484,148,268
29,0.012515068054199219,124,219
30,0.03650712966918945,360,690
31,0.5763499736785889,5771,11511
32,0.010906219482421875,87,142
33,0.034123897552490234,287,541
34,0.10657835006713867,908,1782
35,0.014410018920898438,92,149
36,0.0191500186920166,125,214
37,0.01745772361755371,103,169
38,0.09747815132141113,638,1238
39,0.055248260498046875,354,669
40,0.3411710262298584,2208,4376
